ID,Sale_Price,Overall_Cond,Area_SF,Value_SF
9,236500,Average,Wood_Deck_SF,237
9,236500,Average,Open_Porch_SF,152
10,189000,Average,Bsmt_Unf_SF,994
10,189000,Average,Total_Bsmt_SF,994
10,189000,Average,First_Flr_SF,1028
10,189000,Average,Second_Flr_SF,776
10,189000,Average,Wood_Deck_SF,140
10,189000,Average,Open_Porch_SF,60
11,175900,Average,Bsmt_Unf_SF,763
11,175900,Average,Total_Bsmt_SF,763
11,175900,Average,First_Flr_SF,763
11,175900,Average,Second_Flr_SF,892
11,175900,Average,Wood_Deck_SF,157
11,175900,Average,Open_Porch_SF,84
12,185000,Good,Bsmt_Unf_SF,233
12,185000,Good,Total_Bsmt_SF,1168
12,185000,Good,First_Flr_SF,1187
12,185000,Good,Second_Flr_SF,0
12,185000,Good,Wood_Deck_SF,483
12,185000,Good,Open_Porch_SF,21
13,180400,Average,Bsmt_Unf_SF,789
13,180400,Average,Total_Bsmt_SF,789
13,180400,Average,First_Flr_SF,789
13,180400,Average,Second_Flr_SF,676
13,180400,Average,Wood_Deck_SF,0
13,180400,Average,Open_Porch_SF,75
14,171500,Average,Bsmt_Unf_SF,663
14,171500,Average,Total_Bsmt_SF,1300
14,171500,Average,First_Flr_SF,1341
14,171500,Average,Second_Flr_SF,0
14,171500,Average,Wood_Deck_SF,192
14,171500,Average,Open_Porch_SF,0
15,212000,Average,Bsmt_Unf_SF,0
15,212000,Average,Total_Bsmt_SF,1488
15,212000,Average,First_Flr_SF,1502
15,212000,Average,Second_Flr_SF,0
15,212000,Average,Wood_Deck_SF,0
15,212000,Average,Open_Porch_SF,54
16,538000,Average,Bsmt_Unf_SF,234
16,538000,Average,Total_Bsmt_SF,1650
16,538000,Average,First_Flr_SF,1690
16,538000,Average,Second_Flr_SF,1589
16,538000,Average,Wood_Deck_SF,503
16,538000,Average,Open_Porch_SF,36
17,164000,Good,Bsmt_Unf_SF,132
17,164000,Good,Total_Bsmt_SF,559
17,164000,Good,First_Flr_SF,1080
17,164000,Good,Second_Flr_SF,672
17,164000,Good,Wood_Deck_SF,325
17,164000,Good,Open_Porch_SF,12
18,394432,Poor,Bsmt_Unf_SF,411
18,394432,Poor,Total_Bsmt_SF,1856
18,394432,Poor,First_Flr_SF,1856
18,394432,Poor,Second_Flr_SF,0
18,394432,Poor,Wood_Deck_SF,113
18,394432,Poor,Open_Porch_SF,0
19,141000,Average,Bsmt_Unf_SF,744
19,141000,Average,Total_Bsmt_SF,864
19,141000,Average,First_Flr_SF,864
19,141000,Average,Second_Flr_SF,0
19,141000,Average,Wood_Deck_SF,0
19,141000,Average,Open_Porch_SF,0
20,210000,Above_Average,Bsmt_Unf_SF,589
20,210000,Above_Average,Total_Bsmt_SF,1542
20,210000,Above_Average,First_Flr_SF,2073
20,210000,Above_Average,Second_Flr_SF,0
20,210000,Above_Average,Wood_Deck_SF,349
20,210000,Above_Average,Open_Porch_SF,0
21,190000,Above_Average,Bsmt_Unf_SF,1139
21,190000,Above_Average,Total_Bsmt_SF,1844
21,190000,Above_Average,First_Flr_SF,1844
21,190000,Above_Average,Second_Flr_SF,0
21,190000,Above_Average,Wood_Deck_SF,0
21,190000,Above_Average,Open_Porch_SF,122
22,170000,Above_Average,Bsmt_Unf_SF,0
22,170000,Above_Average,Total_Bsmt_SF,1053
22,170000,Above_Average,First_Flr_SF,1173
22,170000,Above_Average,Second_Flr_SF,0
22,170000,Above_Average,Wood_Deck_SF,0
22,170000,Above_Average,Open_Porch_SF,120
23,216000,Average,Bsmt_Unf_SF,281
23,216000,Average,Total_Bsmt_SF,814
23,216000,Average,First_Flr_SF,814
23,216000,Average,Second_Flr_SF,860
23,216000,Average,Wood_Deck_SF,0
23,216000,Average,Open_Porch_SF,96
24,149000,Good,Bsmt_Unf_SF,426
24,149000,Good,Total_Bsmt_SF,1004
24,149000,Good,First_Flr_SF,1004
24,149000,Good,Second_Flr_SF,0
24,149000,Good,Wood_Deck_SF,0
24,149000,Good,Open_Porch_SF,0
25,149900,Above_Average,Bsmt_Unf_SF,344
25,149900,Above_Average,Total_Bsmt_SF,1078
25,149900,Above_Average,First_Flr_SF,1078
25,149900,Above_Average,Second_Flr_SF,0
25,149900,Above_Average,Wood_Deck_SF,0
25,149900,Above_Average,Open_Porch_SF,0
26,142000,Above_Average,Bsmt_Unf_SF,281
26,142000,Above_Average,Total_Bsmt_SF,1056
26,142000,Above_Average,First_Flr_SF,1056
26,142000,Above_Average,Second_Flr_SF,0
26,142000,Above_Average,Wood_Deck_SF,0
26,142000,Above_Average,Open_Porch_SF,85
27,126000,Average,Bsmt_Unf_SF,0
27,126000,Average,Total_Bsmt_SF,882
27,126000,Average,First_Flr_SF,882
27,126000,Average,Second_Flr_SF,0
27,126000,Average,Wood_Deck_SF,240
27,126000,Average,Open_Porch_SF,0
28,115000,Average,Bsmt_Unf_SF,432
28,115000,Average,Total_Bsmt_SF,864
28,115000,Average,First_Flr_SF,864
28,115000,Average,Second_Flr_SF,0
28,115000,Average,Wood_Deck_SF,0
28,115000,Average,Open_Porch_SF,0
29,184000,Average,Bsmt_Unf_SF,354
29,184000,Average,Total_Bsmt_SF,1405
29,184000,Average,First_Flr_SF,1337
29,184000,Average,Second_Flr_SF,0
29,184000,Average,Wood_Deck_SF,203
29,184000,Average,Open_Porch_SF,68
30,96000,Average,Bsmt_Unf_SF,327
30,96000,Average,Total_Bsmt_SF,483
30,96000,Average,First_Flr_SF,483
30,96000,Average,Second_Flr_SF,504
30,96000,Average,Wood_Deck_SF,275
30,96000,Average,Open_Porch_SF,0
31,105500,Average,Bsmt_Unf_SF,225
31,105500,Average,Total_Bsmt_SF,525
31,105500,Average,First_Flr_SF,525
31,105500,Average,Second_Flr_SF,567
31,105500,Average,Wood_Deck_SF,0
31,105500,Average,Open_Porch_SF,0
32,88000,Average,Bsmt_Unf_SF,525
32,88000,Average,Total_Bsmt_SF,525
32,88000,Average,First_Flr_SF,525
32,88000,Average,Second_Flr_SF,567
32,88000,Average,Wood_Deck_SF,0
32,88000,Average,Open_Porch_SF,0
33,127500,Average,Bsmt_Unf_SF,709
33,127500,Average,Total_Bsmt_SF,1069
33,127500,Average,First_Flr_SF,1069
33,127500,Average,Second_Flr_SF,0
33,127500,Average,Wood_Deck_SF,0
33,127500,Average,Open_Porch_SF,55
34,149900,Above_Average,Bsmt_Unf_SF,341
34,149900,Above_Average,Total_Bsmt_SF,855
34,149900,Above_Average,First_Flr_SF,855
34,149900,Above_Average,Second_Flr_SF,601
34,149900,Above_Average,Wood_Deck_SF,173
34,149900,Above_Average,Open_Porch_SF,0
35,120000,Above_Average,Bsmt_Unf_SF,836
35,120000,Above_Average,Total_Bsmt_SF,836
35,120000,Above_Average,First_Flr_SF,836
35,120000,Above_Average,Second_Flr_SF,0
35,120000,Above_Average,Wood_Deck_SF,0
35,120000,Above_Average,Open_Porch_SF,30
36,146000,Average,Bsmt_Unf_SF,544
36,146000,Average,Total_Bsmt_SF,855
36,146000,Average,First_Flr_SF,855
36,146000,Average,Second_Flr_SF,601
36,146000,Average,Wood_Deck_SF,26
36,146000,Average,Open_Porch_SF,0
37,376162,Average,Bsmt_Unf_SF,1590
37,376162,Average,Total_Bsmt_SF,1590
37,376162,Average,First_Flr_SF,1627
37,376162,Average,Second_Flr_SF,707
37,376162,Average,Wood_Deck_SF,144
37,376162,Average,Open_Porch_SF,133
38,306000,Average,Bsmt_Unf_SF,486
38,306000,Average,Total_Bsmt_SF,1704
38,306000,Average,First_Flr_SF,1704
38,306000,Average,Second_Flr_SF,0
38,306000,Average,Wood_Deck_SF,0
38,306000,Average,Open_Porch_SF,50
39,395192,Average,Bsmt_Unf_SF,284
39,395192,Average,Total_Bsmt_SF,1930
39,395192,Average,First_Flr_SF,1940
39,395192,Average,Second_Flr_SF,0
39,395192,Average,Wood_Deck_SF,168
39,395192,Average,Open_Porch_SF,95
40,290941,Average,Bsmt_Unf_SF,1544
40,290941,Average,Total_Bsmt_SF,1544
40,290941,Average,First_Flr_SF,1544
40,290941,Average,Second_Flr_SF,0
40,290941,Average,Wood_Deck_SF,0
40,290941,Average,Open_Porch_SF,35
41,220000,Average,Bsmt_Unf_SF,340
41,220000,Average,Total_Bsmt_SF,1541
41,220000,Average,First_Flr_SF,1541
41,220000,Average,Second_Flr_SF,0
41,220000,Average,Wood_Deck_SF,0
41,220000,Average,Open_Porch_SF,70
42,275000,Average,Bsmt_Unf_SF,1588
42,275000,Average,Total_Bsmt_SF,1698
42,275000,Average,First_Flr_SF,1698
42,275000,Average,Second_Flr_SF,0
42,275000,Average,Wood_Deck_SF,192
42,275000,Average,Open_Porch_SF,74
43,259000,Average,Bsmt_Unf_SF,1794
43,259000,Average,Total_Bsmt_SF,1822
43,259000,Average,First_Flr_SF,1822
43,259000,Average,Second_Flr_SF,0
43,259000,Average,Wood_Deck_SF,0
43,259000,Average,Open_Porch_SF,119
44,214000,Average,Bsmt_Unf_SF,1515
44,214000,Average,Total_Bsmt_SF,1517
44,214000,Average,First_Flr_SF,1535
44,214000,Average,Second_Flr_SF,0
44,214000,Average,Wood_Deck_SF,0
44,214000,Average,Open_Porch_SF,0
45,611657,Average,Bsmt_Unf_SF,142
45,611657,Average,Total_Bsmt_SF,2330
45,611657,Average,First_Flr_SF,2364
45,611657,Average,Second_Flr_SF,0
45,611657,Average,Wood_Deck_SF,0
45,611657,Average,Open_Porch_SF,67
46,224000,Average,Bsmt_Unf_SF,625
46,224000,Average,Total_Bsmt_SF,1358
46,224000,Average,First_Flr_SF,1358
46,224000,Average,Second_Flr_SF,0
46,224000,Average,Wood_Deck_SF,192
46,224000,Average,Open_Porch_SF,35
47,500000,Average,Bsmt_Unf_SF,1473
47,500000,Average,Total_Bsmt_SF,2846
47,500000,Average,First_Flr_SF,2696
47,500000,Average,Second_Flr_SF,0
47,500000,Average,Wood_Deck_SF,220
47,500000,Average,Open_Porch_SF,150
48,320000,Average,Bsmt_Unf_SF,1093
48,320000,Average,Total_Bsmt_SF,1671
48,320000,Average,First_Flr_SF,1687
48,320000,Average,Second_Flr_SF,563
48,320000,Average,Wood_Deck_SF,238
48,320000,Average,Open_Porch_SF,130
49,319900,Average,Bsmt_Unf_SF,1296
49,319900,Average,Total_Bsmt_SF,1752
49,319900,Average,First_Flr_SF,1752
49,319900,Average,Second_Flr_SF,0
49,319900,Average,Wood_Deck_SF,196
49,319900,Average,Open_Porch_SF,82
50,205000,Average,Bsmt_Unf_SF,1346
50,205000,Average,Total_Bsmt_SF,1370
50,205000,Average,First_Flr_SF,1370
50,205000,Average,Second_Flr_SF,0
50,205000,Average,Wood_Deck_SF,120
50,205000,Average,Open_Porch_SF,49
51,175500,Average,Bsmt_Unf_SF,764
51,175500,Average,Total_Bsmt_SF,764
51,175500,Average,First_Flr_SF,764
51,175500,Average,Second_Flr_SF,862
51,175500,Average,Wood_Deck_SF,0
51,175500,Average,Open_Porch_SF,27
52,199500,Average,Bsmt_Unf_SF,1324
52,199500,Average,Total_Bsmt_SF,1324
52,199500,Average,First_Flr_SF,1324
52,199500,Average,Second_Flr_SF,0
52,199500,Average,Wood_Deck_SF,36
52,199500,Average,Open_Porch_SF,23
53,160000,Average,Bsmt_Unf_SF,1129
53,160000,Average,Total_Bsmt_SF,1145
53,160000,Average,First_Flr_SF,1145
53,160000,Average,Second_Flr_SF,0
53,160000,Average,Wood_Deck_SF,100
53,160000,Average,Open_Porch_SF,116
54,192000,Average,Bsmt_Unf_SF,1232
54,192000,Average,Total_Bsmt_SF,1256
54,192000,Average,First_Flr_SF,1269
54,192000,Average,Second_Flr_SF,0
54,192000,Average,Wood_Deck_SF,146
54,192000,Average,Open_Porch_SF,20
55,184500,Average,Bsmt_Unf_SF,58
55,184500,Average,Total_Bsmt_SF,384
55,184500,Average,First_Flr_SF,744
55,184500,Average,Second_Flr_SF,630
55,184500,Average,Wood_Deck_SF,100
55,184500,Average,Open_Porch_SF,0
56,216500,Average,Bsmt_Unf_SF,235
56,216500,Average,Total_Bsmt_SF,860
56,216500,Average,First_Flr_SF,860
56,216500,Average,Second_Flr_SF,1100
56,216500,Average,Wood_Deck_SF,288
56,216500,Average,Open_Porch_SF,48
57,185088,Average,Bsmt_Unf_SF,847
57,185088,Average,Total_Bsmt_SF,847
57,185088,Average,First_Flr_SF,847
57,185088,Average,Second_Flr_SF,886
57,185088,Average,Wood_Deck_SF,144
57,185088,Average,Open_Porch_SF,48
58,180000,Average,Bsmt_Unf_SF,134
58,180000,Average,Total_Bsmt_SF,384
58,180000,Average,First_Flr_SF,774
58,180000,Average,Second_Flr_SF,656
58,180000,Average,Wood_Deck_SF,180
58,180000,Average,Open_Porch_SF,0
59,222500,Average,Bsmt_Unf_SF,884
59,222500,Average,Total_Bsmt_SF,884
59,222500,Average,First_Flr_SF,884
59,222500,Average,Second_Flr_SF,1151
59,222500,Average,Wood_Deck_SF,144
59,222500,Average,Open_Porch_SF,48
60,333168,Average,Bsmt_Unf_SF,1393
60,333168,Average,Total_Bsmt_SF,1393
60,333168,Average,First_Flr_SF,1422
60,333168,Average,Second_Flr_SF,1177
60,333168,Average,Wood_Deck_SF,668
60,333168,Average,Open_Porch_SF,30
61,355000,Average,Bsmt_Unf_SF,1629
61,355000,Average,Total_Bsmt_SF,1629
61,355000,Average,First_Flr_SF,1645
61,355000,Average,Second_Flr_SF,830
61,355000,Average,Wood_Deck_SF,23
61,355000,Average,Open_Porch_SF,172
62,260400,Average,Bsmt_Unf_SF,801
62,260400,Average,Total_Bsmt_SF,1720
62,260400,Average,First_Flr_SF,1720
62,260400,Average,Second_Flr_SF,0
62,260400,Average,Wood_Deck_SF,240
62,260400,Average,Open_Porch_SF,56
63,325000,Average,Bsmt_Unf_SF,431
63,325000,Average,Total_Bsmt_SF,1463
63,325000,Average,First_Flr_SF,1500
63,325000,Average,Second_Flr_SF,1122
63,325000,Average,Wood_Deck_SF,186
63,325000,Average,Open_Porch_SF,32
64,290000,Good,Bsmt_Unf_SF,628
64,290000,Good,Total_Bsmt_SF,1152
64,290000,Good,First_Flr_SF,1164
64,290000,Good,Second_Flr_SF,1106
64,290000,Good,Wood_Deck_SF,132
64,290000,Good,Open_Porch_SF,57
65,221000,Average,Bsmt_Unf_SF,1195
65,221000,Average,Total_Bsmt_SF,1195
65,221000,Average,First_Flr_SF,1195
65,221000,Average,Second_Flr_SF,644
65,221000,Average,Wood_Deck_SF,0
65,221000,Average,Open_Porch_SF,81
66,410000,Average,Bsmt_Unf_SF,1217
66,410000,Average,Total_Bsmt_SF,2033
66,410000,Average,First_Flr_SF,2053
66,410000,Average,Second_Flr_SF,1185
66,410000,Average,Wood_Deck_SF,283
66,410000,Average,Open_Porch_SF,86
67,221500,Average,Bsmt_Unf_SF,1595
67,221500,Average,Total_Bsmt_SF,1595
67,221500,Average,First_Flr_SF,1595
67,221500,Average,Second_Flr_SF,0
67,221500,Average,Wood_Deck_SF,144
67,221500,Average,Open_Porch_SF,0
68,204500,Average,Bsmt_Unf_SF,1218
68,204500,Average,Total_Bsmt_SF,1218
68,204500,Average,First_Flr_SF,1218
68,204500,Average,Second_Flr_SF,0
68,204500,Average,Wood_Deck_SF,0
68,204500,Average,Open_Porch_SF,136
69,215200,Average,Bsmt_Unf_SF,732
69,215200,Average,Total_Bsmt_SF,756
69,215200,Average,First_Flr_SF,764
69,215200,Average,Second_Flr_SF,783
69,215200,Average,Wood_Deck_SF,169
69,215200,Average,Open_Porch_SF,45
70,262500,Average,Bsmt_Unf_SF,488
70,262500,Average,Total_Bsmt_SF,1566
70,262500,Average,First_Flr_SF,1566
70,262500,Average,Second_Flr_SF,0
70,262500,Average,Wood_Deck_SF,144
70,262500,Average,Open_Porch_SF,168
71,254900,Average,Bsmt_Unf_SF,769
71,254900,Average,Total_Bsmt_SF,991
71,254900,Average,First_Flr_SF,991
71,254900,Average,Second_Flr_SF,956
71,254900,Average,Wood_Deck_SF,0
71,254900,Average,Open_Porch_SF,136
72,271500,Average,Bsmt_Unf_SF,54
72,271500,Average,Total_Bsmt_SF,1468
72,271500,Average,First_Flr_SF,1468
72,271500,Average,Second_Flr_SF,0
72,271500,Average,Wood_Deck_SF,0
72,271500,Average,Open_Porch_SF,102
73,233000,Average,Bsmt_Unf_SF,300
73,233000,Average,Total_Bsmt_SF,956
73,233000,Average,First_Flr_SF,956
73,233000,Average,Second_Flr_SF,1128
73,233000,Average,Wood_Deck_SF,0
73,233000,Average,Open_Porch_SF,45
74,181000,Average,Bsmt_Unf_SF,831
74,181000,Average,Total_Bsmt_SF,831
74,181000,Average,First_Flr_SF,831
74,181000,Average,Second_Flr_SF,828
74,181000,Average,Wood_Deck_SF,144
74,181000,Average,Open_Porch_SF,68
75,205000,Average,Bsmt_Unf_SF,253
75,205000,Average,Total_Bsmt_SF,948
75,205000,Average,First_Flr_SF,1222
75,205000,Average,Second_Flr_SF,888
75,205000,Average,Wood_Deck_SF,0
75,205000,Average,Open_Porch_SF,130
76,143000,Average,Bsmt_Unf_SF,261
76,143000,Average,Total_Bsmt_SF,923
76,143000,Average,First_Flr_SF,923
76,143000,Average,Second_Flr_SF,0
76,143000,Average,Wood_Deck_SF,80
76,143000,Average,Open_Porch_SF,0
77,189000,Average,Bsmt_Unf_SF,1055
77,189000,Average,Total_Bsmt_SF,1055
77,189000,Average,First_Flr_SF,1055
77,189000,Average,Second_Flr_SF,790
77,189000,Average,Wood_Deck_SF,635
77,189000,Average,Open_Porch_SF,104
78,99500,Average,Bsmt_Unf_SF,918
78,99500,Average,Total_Bsmt_SF,918
78,99500,Average,First_Flr_SF,918
78,99500,Average,Second_Flr_SF,0
78,99500,Average,Wood_Deck_SF,28
78,99500,Average,Open_Porch_SF,0
79,125000,Average,Bsmt_Unf_SF,0
79,125000,Average,Total_Bsmt_SF,744
79,125000,Average,First_Flr_SF,752
79,125000,Average,Second_Flr_SF,0
79,125000,Average,Wood_Deck_SF,353
79,125000,Average,Open_Porch_SF,0
80,194500,Good,Bsmt_Unf_SF,594
80,194500,Good,Total_Bsmt_SF,996
80,194500,Good,First_Flr_SF,1014
80,194500,Good,Second_Flr_SF,730
80,194500,Good,Wood_Deck_SF,370
80,194500,Good,Open_Porch_SF,70
81,152000,Average,Bsmt_Unf_SF,702
81,152000,Average,Total_Bsmt_SF,1040
81,152000,Average,First_Flr_SF,1097
81,152000,Average,Second_Flr_SF,0
81,152000,Average,Wood_Deck_SF,0
81,152000,Average,Open_Porch_SF,0
82,171000,Above_Average,Bsmt_Unf_SF,650
82,171000,Above_Average,Total_Bsmt_SF,650
82,171000,Above_Average,First_Flr_SF,888
82,171000,Above_Average,Second_Flr_SF,676
82,171000,Above_Average,Wood_Deck_SF,0
82,171000,Above_Average,Open_Porch_SF,50
83,67500,Average,Bsmt_Unf_SF,816
83,67500,Average,Total_Bsmt_SF,816
83,67500,Average,First_Flr_SF,1012
83,67500,Average,Second_Flr_SF,0
83,67500,Average,Wood_Deck_SF,121
83,67500,Average,Open_Porch_SF,0
84,112000,Average,Bsmt_Unf_SF,0
84,112000,Average,Total_Bsmt_SF,0
84,112000,Average,First_Flr_SF,1318
84,112000,Average,Second_Flr_SF,584
84,112000,Average,Wood_Deck_SF,0
84,112000,Average,Open_Porch_SF,0
85,148000,Good,Bsmt_Unf_SF,210
85,148000,Good,Total_Bsmt_SF,1109
85,148000,Good,First_Flr_SF,1155
85,148000,Good,Second_Flr_SF,0
85,148000,Good,Wood_Deck_SF,192
85,148000,Good,Open_Porch_SF,0
86,138500,Very_Good,Bsmt_Unf_SF,224
86,138500,Very_Good,Total_Bsmt_SF,894
86,138500,Very_Good,First_Flr_SF,894
86,138500,Very_Good,Second_Flr_SF,0
86,138500,Very_Good,Wood_Deck_SF,416
86,138500,Very_Good,Open_Porch_SF,144
87,122000,Average,Bsmt_Unf_SF,432
87,122000,Average,Total_Bsmt_SF,882
87,122000,Average,First_Flr_SF,900
87,122000,Average,Second_Flr_SF,0
87,122000,Average,Wood_Deck_SF,0
87,122000,Average,Open_Porch_SF,0
88,133000,Average,Bsmt_Unf_SF,216
88,133000,Average,Total_Bsmt_SF,1040
88,133000,Average,First_Flr_SF,1040
88,133000,Average,Second_Flr_SF,0
88,133000,Average,Wood_Deck_SF,0
88,133000,Average,Open_Porch_SF,0
89,127000,Very_Good,Bsmt_Unf_SF,381
89,127000,Very_Good,Total_Bsmt_SF,1040
89,127000,Very_Good,First_Flr_SF,1040
89,127000,Very_Good,Second_Flr_SF,0
89,127000,Very_Good,Wood_Deck_SF,0
89,127000,Very_Good,Open_Porch_SF,104
90,169000,Above_Average,Bsmt_Unf_SF,223
90,169000,Above_Average,Total_Bsmt_SF,1208
90,169000,Above_Average,First_Flr_SF,1494
90,169000,Above_Average,Second_Flr_SF,0
90,169000,Above_Average,Wood_Deck_SF,296
90,169000,Above_Average,Open_Porch_SF,0
91,190000,Average,Bsmt_Unf_SF,76
91,190000,Average,Total_Bsmt_SF,750
91,190000,Average,First_Flr_SF,1061
91,190000,Average,Second_Flr_SF,862
91,190000,Average,Wood_Deck_SF,240
91,190000,Average,Open_Porch_SF,39
92,362500,Average,Bsmt_Unf_SF,0
92,362500,Average,Total_Bsmt_SF,1231
92,362500,Average,First_Flr_SF,1251
92,362500,Average,Second_Flr_SF,1098
92,362500,Average,Wood_Deck_SF,32
92,362500,Average,Open_Porch_SF,130
93,285000,Average,Bsmt_Unf_SF,261
93,285000,Average,Total_Bsmt_SF,1390
93,285000,Average,First_Flr_SF,1402
93,285000,Average,Second_Flr_SF,823
93,285000,Average,Wood_Deck_SF,198
93,285000,Average,Open_Porch_SF,30
94,260000,Average,Bsmt_Unf_SF,190
94,260000,Average,Total_Bsmt_SF,1488
94,260000,Average,First_Flr_SF,1488
94,260000,Average,Second_Flr_SF,0
94,260000,Average,Wood_Deck_SF,168
94,260000,Average,Open_Porch_SF,50
95,190000,Average,Bsmt_Unf_SF,840
95,190000,Average,Total_Bsmt_SF,840
95,190000,Average,First_Flr_SF,840
95,190000,Average,Second_Flr_SF,840
95,190000,Average,Wood_Deck_SF,0
95,190000,Average,Open_Porch_SF,111
96,155000,Average,Bsmt_Unf_SF,320
96,155000,Average,Total_Bsmt_SF,600
96,155000,Average,First_Flr_SF,600
96,155000,Average,Second_Flr_SF,600
96,155000,Average,Wood_Deck_SF,0
96,155000,Average,Open_Porch_SF,172
97,151000,Average,Bsmt_Unf_SF,600
97,151000,Average,Total_Bsmt_SF,600
97,151000,Average,First_Flr_SF,600
97,151000,Average,Second_Flr_SF,600
97,151000,Average,Wood_Deck_SF,0
97,151000,Average,Open_Porch_SF,172
98,149500,Average,Bsmt_Unf_SF,190
98,149500,Average,Total_Bsmt_SF,600
98,149500,Average,First_Flr_SF,600
98,149500,Average,Second_Flr_SF,600
98,149500,Average,Wood_Deck_SF,0
98,149500,Average,Open_Porch_SF,172
99,152000,Average,Bsmt_Unf_SF,224
99,152000,Average,Total_Bsmt_SF,600
99,152000,Average,First_Flr_SF,600
99,152000,Average,Second_Flr_SF,636
99,152000,Average,Wood_Deck_SF,0
99,152000,Average,Open_Porch_SF,166
100,222000,Average,Bsmt_Unf_SF,892
100,222000,Average,Total_Bsmt_SF,1470
100,222000,Average,First_Flr_SF,1478
100,222000,Average,Second_Flr_SF,0
100,222000,Average,Wood_Deck_SF,0
100,222000,Average,Open_Porch_SF,144
101,177500,Average,Bsmt_Unf_SF,378
101,177500,Average,Total_Bsmt_SF,756
101,177500,Average,First_Flr_SF,769
101,177500,Average,Second_Flr_SF,804
101,177500,Average,Wood_Deck_SF,0
101,177500,Average,Open_Porch_SF,32
102,177000,Average,Bsmt_Unf_SF,290
102,177000,Average,Total_Bsmt_SF,756
102,177000,Average,First_Flr_SF,756
102,177000,Average,Second_Flr_SF,756
102,177000,Average,Wood_Deck_SF,0
102,177000,Average,Open_Porch_SF,32
103,155000,Average,Bsmt_Unf_SF,92
103,155000,Average,Total_Bsmt_SF,696
103,155000,Average,First_Flr_SF,696
103,155000,Average,Second_Flr_SF,720
103,155000,Average,Wood_Deck_SF,0
103,155000,Average,Open_Porch_SF,44
104,147110,Average,Bsmt_Unf_SF,286
104,147110,Average,Total_Bsmt_SF,530
104,147110,Average,First_Flr_SF,530
104,147110,Average,Second_Flr_SF,550
104,147110,Average,Wood_Deck_SF,0
104,147110,Average,Open_Porch_SF,50
105,267916,Average,Bsmt_Unf_SF,610
105,267916,Average,Total_Bsmt_SF,1642
105,267916,Average,First_Flr_SF,1418
105,267916,Average,Second_Flr_SF,0
105,267916,Average,Wood_Deck_SF,160
105,267916,Average,Open_Porch_SF,192
106,254000,Average,Bsmt_Unf_SF,491
106,254000,Average,Total_Bsmt_SF,975
106,254000,Average,First_Flr_SF,975
106,254000,Average,Second_Flr_SF,873
106,254000,Average,Wood_Deck_SF,280
106,254000,Average,Open_Porch_SF,184
107,155000,Average,Bsmt_Unf_SF,0
107,155000,Average,Total_Bsmt_SF,728
107,155000,Average,First_Flr_SF,788
107,155000,Average,Second_Flr_SF,0
107,155000,Average,Wood_Deck_SF,133
107,155000,Average,Open_Porch_SF,42
108,206000,Above_Average,Bsmt_Unf_SF,174
108,206000,Above_Average,Total_Bsmt_SF,1226
108,206000,Above_Average,First_Flr_SF,1226
108,206000,Above_Average,Second_Flr_SF,0
108,206000,Above_Average,Wood_Deck_SF,223
108,206000,Above_Average,Open_Porch_SF,78
